Timestamp,Accel_X,Accel_Y,Accel_Z,UserAccel_X,UserAccel_Y,UserAccel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.000000,-0.005307,-0.029265,9.829714,-0.008019,-0.034528,0.027350,0.049571,-0.015686,0.118139
0.040000,-0.005522,0.033851,9.786760,-0.008559,0.026755,-0.010096,-0.009203,-0.054201,0.131735
0.080000,0.042265,-0.032681,9.816042,0.019764,-0.039780,0.001994,-0.002580,-0.086307,0.129775
0.120000,0.017725,0.047904,9.905205,0.033139,0.044479,0.080441,0.018319,-0.045151,0.117987
0.160000,-0.001263,-0.004131,9.834978,-0.014788,-0.018265,0.063331,0.040441,-0.027658,0.116841
0.200000,0.070445,0.010083,9.790793,0.065356,0.016085,0.005395,0.042666,-0.045764,0.132859
0.240000,0.008803,0.017657,9.819056,0.004955,0.017232,0.041022,-0.011711,-0.046672,0.154873
0.280000,-0.022204,-0.032053,9.889630,-0.010047,-0.026471,0.093489,0.022168,-0.038180,0.135087
0.320000,0.052457,0.036556,9.853857,0.040368,0.012119,0.044354,0.062529,-0.028037,0.137966
0.360000,-0.002165,0.011883,9.881292,0.008608,0.004240,0.048201,0.035068,-0.140559,0.153090
0.400000,0.011284,0.025091,9.833091,-0.004004,0.014957,0.043947,0.055838,-0.111998,0.096566
0.440000,-0.012908,0.033016,9.935005,-0.008032,0.028553,0.090373,0.071073,-0.080321,0.122599
0.480000,0.073295,0.017161,9.869555,0.058008,0.017725,0.052995,0.078940,-0.083153,0.135565
0.520000,-0.026231,0.001411,9.907690,-0.019696,-0.025297,0.090581,0.091746,-0.134231,0.122922
0.560000,0.023968,0.004190,9.832198,0.032746,-0.007965,0.012811,0.105100,-0.120315,0.089689
0.600000,-0.016929,-0.029318,9.791167,-0.016505,-0.026110,0.003724,0.097348,-0.062743,0.083104
0.640000,-0.019749,-0.023496,9.803897,-0.012866,-0.020776,0.004131,0.065030,-0.119442,0.128912
