Timestamp,Accel_X,Accel_Y,Accel_Z,UserAccel_X,UserAccel_Y,UserAccel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.000000,0.006655,-0.005065,9.817845,-0.006944,0.002753,0.021352,-0.021397,0.000749,0.116509
0.040000,-0.021604,0.054597,9.834028,-0.026021,0.042076,0.011866,0.011011,0.017985,0.148312
0.080000,-0.029881,0.015678,9.850590,-0.030891,0.005085,0.020585,-0.026747,0.014533,0.125289
0.120000,-0.026658,-0.032038,9.891161,-0.037539,-0.045451,0.075531,0.028437,-0.004386,0.115190
0.160000,-0.017653,0.035500,9.876017,-0.009781,0.017508,0.076949,0.050047,0.073976,0.117338
0.200000,-0.021951,-0.006966,9.860423,-0.015726,0.004612,0.066373,0.024123,0.052952,0.118604
0.240000,-0.028034,-0.013126,9.865521,-0.024445,-0.002666,0.047051,0.037506,0.036380,0.104620
0.280000,0.001465,0.035648,9.817950,-0.003779,0.027552,0.031442,0.053813,0.038406,0.110176
0.320000,0.046080,0.022553,9.874607,0.042779,0.021429,0.085563,0.053983,0.044177,0.103678
0.360000,0.018896,-0.014884,9.909225,-0.012384,-0.021645,0.096071,0.020862,0.040491,0.105083
0.400000,-0.012496,0.002452,9.874346,-0.002803,0.005952,0.040814,0.034003,0.054166,0.101301
0.440000,0.020618,0.045164,9.921030,0.019749,0.036313,0.093789,0.055803,0.045698,0.101089
0.480000,0.047885,-0.013639,9.858856,0.050541,-0.000683,0.043159,0.071552,0.090468,0.105459
0.520000,0.014246,-0.016171,9.766711,0.009820,-0.035776,-0.011949,0.065051,0.030781,0.115149
0.560000,0.024706,0.030040,9.813527,0.016029,0.005351,0.040383,0.081619,0.086617,0.119934
0.600000,0.027200,-0.031322,9.814583,0.024869,-0.013280,0.007192,0.104878,0.063551,0.086397
0.640000,0.018548,0.010083,9.826155,0.014860,-0.005553,-0.010314,0.082354,0.112293,0.067884
0.680000,-0.043760,-0.048460,9.800509,-0.040167,-0.031091,0.003891,0.072257,0.088920,0.108851
0.720000,-0.003087,0.006515,9.833365,-0.019430,0.000695,0.010429,0.108873,0.105567,0.133292
0.760000,0.010853,-0.032117,9.788259,0.015568,-0.022573,-0.026374,0.127860,0.084485,0.097415
0.800000,-0.048802,0.016595,9.745651,-0.017483,0.011998,-0.055741,0.113340,0.135779,0.076793
0.840000,-0.044696,0.013271,9.727257,-0.038714,0.025772,-0.076582,0.102355,0.075405,0.084426
0.880000,0.008694,0.001260,9.828259,-0.015133,-0.002811,0.043516,0.112113,0.093123,0.079434
0.920000,-0.008550,-0.032237,9.935130,0.003278,-0.030362,0.118535,0.109727,0.088645,0.071811
0.960000,0.005020,-0.026872,10.030957,0.000204,-0.024213,0.230781,0.128669,0.115294,0.050727
1.000000,-0.021161,0.004283,10.227224,-0.013178,0.000699,0.404494,0.084056,0.123496,0.084472
1.040000,-0.057394,-0.010866,10.428253,-0.062049,0.006211,0.621635,0.131280,0.094567,0.044763
1.080000,-0.000839,-0.006456,10.511499,-0.011900,-0.012649,0.705944,0.128789,0.105502,0.075663
1.120000,-0.054614,-0.005079,10.501330,-0.050034,-0.001946,0.723043,0.153017,0.110901,0.062962
1.160000,0.008969,0.004850,10.457391,-0.003829,0.020342,0.643068,0.109127,0.109990,0.076139
1.200000,0.002977,0.042260,10.301758,-0.007853,0.035465,0.484097,0.116820,0.138850,0.057758
1.240000,-0.026333,0.005171,10.127514,-0.029522,0.011394,0.298632,0.148930,0.210408,-0.007612
1.280000,-0.048199,0.029191,10.009175,-0.047476,0.029724,0.211848,0.169747,0.183173,0.006114
1.320000,0.015093,0.020228,9.962737,0.017321,0.016958,0.148762,0.142423,0.177626,0.030952
1.360000,-0.008329,0.026513,9.900502,-0.000191,0.027201,0.084506,0.142049,0.203983,0.058512
1.400000,-0.037913,0.004614,9.871826,-0.026676,0.004941,0.080971,0.132163,0.190211,0.012337
1.440000,0.044139,0.038186,9.889042,0.038295,0.032297,0.088434,0.149493,0.212174,-0.011981
1.480000,0.011196,0.054556,9.896420,0.007752,0.057312,0.104221,0.130087,0.250644,0.026657
1.520000,0.000213,0.042393,9.900526,-0.003943,0.032164,0.107072,0.123256,0.264505,0.038643
1.560000,0.054542,0.043965,9.873232,0.044448,0.032495,0.069170,0.160806,0.343568,-0.014736
1.600000,0.043349,-0.007989,9.838655,0.043582,-0.002137,0.039039,0.132512,0.396741,-0.014248
1.640000,0.057114,0.020260,9.929860,0.043747,0.025861,0.120117,0.162983,0.399510,0.024284
1.680000,0.023858,-0.031476,9.895566,0.040158,-0.037732,0.076168,0.147844,0.387437,-0.038745
1.720000,0.028187,0.042174,9.866355,0.010219,0.025428,0.047472,0.167884,0.437217,-0.039307
1.760000,0.014452,0.050698,9.809772,0.014764,0.039726,-0.012027,0.125644,0.479628,-0.044333
1.800000,0.026468,-0.024440,9.856904,0.033514,-0.015458,0.050889,0.162002,0.506181,-0.024020
1.840000,-0.006348,-0.017510,9.831155,-0.005225,-0.014595,0.028881,0.144763,0.562127,-0.037716
1.880000,0.066527,0.000360,9.781237,0.050709,0.008533,-0.010297,0.113310,0.522248,-0.048679
1.920000,0.032686,-0.028032,9.814115,0.039295,-0.042723,-0.006379,0.126553,0.581643,-0.023654
1.960000,0.039615,-0.012849,9.833799,0.038628,-0.017087,0.009153,0.124981,0.600218,-0.029224
2.000000,0.060548,-0.063777,9.743813,0.070897,-0.053759,-0.084982,0.144254,0.614350,-0.021107
2.040000,-0.000002,-0.030553,9.789533,-0.004020,-0.026179,-0.025181,0.114700,0.602524,-0.053202
2.080000,0.031904,-0.060588,9.706676,0.019377,-0.051147,-0.096323,0.106304,0.620869,-0.043144
2.120000,-0.019458,-0.121310,9.683708,-0.022329,-0.117312,-0.109996,0.119855,0.702546,-0.085624
2.160000,0.023456,-0.071046,9.705662,0.027075,-0.076711,-0.084231,0.143167,0.701709,-0.052371
2.200000,-0.046139,-0.059392,9.751323,-0.042048,-0.053195,-0.029254,0.123762,0.659151,-0.055331
2.240000,0.020247,-0.001950,9.751039,0.019123,-0.002881,-0.074382,0.111877,0.647318,-0.090360
2.280000,-0.058661,-0.049464,9.802886,-0.064138,-0.052563,-0.012849,0.125543,0.695860,-0.066163
2.320000,-0.034849,-0.078571,9.869915,-0.043544,-0.059471,0.024873,0.090363,0.694084,-0.076944
2.360000,-0.059308,-0.044158,10.015478,-0.048902,-0.027120,0.207285,0.141438,0.655439,-0.076026
2.400000,-0.053879,-0.108453,10.139925,-0.049033,-0.103661,0.329066,0.134552,0.746453,-0.069600
2.440000,-0.090166,0.006137,10.334421,-0.104647,0.015048,0.518993,0.087354,0.725437,-0.088216
2.480000,-0.107590,0.013681,10.527758,-0.112570,0.009564,0.708784,0.093847,0.667730,-0.071558
2.520000,-0.095615,-0.010070,10.536689,-0.097091,-0.006600,0.736819,0.084936,0.729476,-0.119905
2.560000,-0.060163,0.043683,10.558842,-0.067998,0.036514,0.749471,0.071681,0.706813,-0.117595
2.600000,-0.105567,0.043529,10.463969,-0.082176,0.038525,0.642401,0.095388,0.726768,-0.106105
2.640000,-0.042649,0.048525,10.327037,-0.049381,0.039913,0.493183,0.042585,0.699023,-0.120682
2.680000,-0.063169,0.063128,10.106391,-0.088420,0.068408,0.310116,0.059074,0.751445,-0.102308
2.720000,-0.061601,0.060671,10.045626,-0.062355,0.062874,0.232703,0.071258,0.812290,-0.116280
2.760000,-0.041115,0.098086,9.959741,-0.043911,0.078008,0.148362,0.086650,0.812317,-0.117379
2.800000,-0.032314,0.083907,9.910472,-0.029053,0.094386,0.104622,0.077110,0.832811,-0.119657
2.840000,-0.002857,0.082152,9.938399,0.006695,0.075470,0.113230,0.030448,0.805007,-0.109846
2.880000,0.036927,0.093654,9.885860,0.041895,0.083542,0.041659,0.022706,0.915024,-0.116069
2.920000,0.024706,0.061251,9.865642,0.015738,0.056508,0.050146,0.024186,0.952494,-0.109757
2.960000,0.043818,0.058717,9.857211,0.038154,0.049771,0.058928,0.055283,0.972444,-0.125845
3.000000,0.067068,0.032732,9.881378,0.075781,0.032729,0.092768,0.028820,1.040310,-0.155750
3.040000,0.087456,0.079741,9.787740,0.093778,0.074911,-0.021156,0.071713,1.104724,-0.104615
3.080000,0.121242,0.048217,9.847962,0.127368,0.045992,0.023807,0.021417,1.180794,-0.135411
3.120000,0.116685,-0.003826,9.803491,0.115024,0.010256,-0.003395,0.036483,1.192629,-0.114391
