Timestamp,Accel_X,Accel_Y,Accel_Z,UserAccel_X,UserAccel_Y,UserAccel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.000000,-0.030839,-0.019894,9.813456,-0.024751,-0.022590,0.015742,-0.030933,0.027422,0.115347
0.040000,-0.024316,0.007097,9.805463,-0.034625,0.006408,-0.003422,-0.014654,0.034310,0.098272
0.080000,-0.030740,0.044674,9.908640,-0.032875,0.050794,0.097026,-0.024184,0.024589,0.134155
0.120000,-0.002657,-0.040631,9.845702,-0.008035,-0.024415,0.037155,0.071351,0.010856,0.157190
0.160000,-0.028582,0.019721,9.867458,-0.037062,0.006089,0.069201,-0.004837,0.025898,0.134530
0.200000,0.017186,-0.002717,9.879461,0.006942,-0.008781,0.047972,0.047474,0.057277,0.119318
0.240000,0.024121,-0.012590,9.875313,0.016339,-0.025342,0.061662,0.020524,0.050533,0.107603
0.280000,-0.040018,-0.000708,9.868306,-0.029966,0.004380,0.091356,-0.006104,0.064608,0.102266
0.320000,-0.014388,-0.016664,9.892870,-0.021188,-0.019956,0.079809,0.052472,0.045217,0.138454
0.360000,-0.011341,0.014756,9.917078,0.002783,0.020945,0.099474,0.104445,0.083623,0.099756
0.400000,-0.027388,0.022710,9.882760,-0.014870,0.016187,0.102801,0.042820,0.098353,0.068894
0.440000,0.008783,0.058753,9.925175,0.010306,0.043094,0.125849,0.100776,0.051789,0.168737
0.480000,0.041850,0.033134,9.898646,0.030047,0.017992,0.074778,0.108660,0.078602,0.112381
0.520000,-0.001733,0.014161,9.853772,0.000016,0.013823,0.041363,0.053040,0.054052,0.096684
0.560000,-0.046594,-0.049619,9.825770,-0.037977,-0.056964,0.013338,0.045134,0.121275,0.088397
0.600000,0.013523,0.023629,9.780980,0.007969,0.018476,-0.011040,0.069009,0.161369,0.110127
0.640000,-0.011071,0.015361,9.778870,-0.005786,0.013991,-0.018302,0.111379,0.133136,0.073296
0.680000,0.018589,-0.022185,9.774740,0.014647,-0.026471,-0.014876,0.053981,0.111426,0.080946
0.720000,0.058574,0.031464,9.781804,0.057879,0.039194,0.000125,0.108802,0.123372,0.098911
0.760000,-0.036237,0.000948,9.738726,-0.026040,0.016331,-0.032897,0.105281,0.137824,0.069496
0.800000,-0.011604,0.001874,9.789211,-0.022371,-0.002437,-0.052038,0.094445,0.095959,0.060211
0.840000,-0.016052,0.000736,9.738385,0.001007,0.011707,-0.060684,0.101829,0.132877,0.069613
0.880000,0.003733,-0.003579,9.815466,0.013278,0.004903,0.001219,0.111975,0.134948,0.070886
0.920000,0.046353,-0.005891,9.950256,0.040510,-0.001477,0.123365,0.121125,0.134192,0.067904
0.960000,0.005062,0.004760,10.083148,-0.023069,-0.010275,0.270904,0.155708,0.133835,0.063473
1.000000,-0.054369,0.027793,10.256926,-0.036135,0.028473,0.448378,0.117913,0.151921,0.070505
1.040000,-0.037531,-0.047491,10.420387,-0.035718,-0.038666,0.605012,0.127436,0.130588,0.046891
1.080000,-0.052103,-0.006513,10.487744,-0.027989,0.005823,0.647033,0.144674,0.144011,0.062539
1.120000,-0.025865,0.039638,10.479019,-0.023851,0.041419,0.668187,0.115212,0.178102,0.040702
1.160000,-0.020564,0.006848,10.425043,-0.013488,0.009009,0.636927,0.169643,0.179965,0.045565
1.200000,-0.016522,0.017497,10.300954,-0.016358,0.029183,0.507443,0.123138,0.193024,0.030806
1.240000,-0.034228,0.013073,10.125109,-0.047817,0.011741,0.329345,0.151289,0.230449,0.002796
1.280000,-0.043997,-0.027797,10.063609,-0.052109,-0.011354,0.256625,0.138407,0.219294,0.040509
1.320000,-0.017793,0.029828,9.955320,-0.013744,0.040607,0.163443,0.145399,0.234554,0.051163
1.360000,-0.020036,0.070872,9.909174,-0.026596,0.057253,0.108165,0.186671,0.276520,0.030265
1.400000,-0.017963,-0.004738,9.890782,-0.018247,0.006965,0.083345,0.153049,0.327212,-0.004260
1.440000,0.012601,0.035407,9.845145,0.023435,0.036769,0.020439,0.134713,0.296584,-0.010857
1.480000,0.022072,0.034469,9.843587,0.023060,0.030645,0.047143,0.130787,0.347356,0.027875
1.520000,0.007400,0.031675,9.894621,0.003091,0.013503,0.075870,0.175075,0.359460,0.014442
1.560000,0.080105,0.066898,9.942065,0.043364,0.051694,0.128578,0.158932,0.374209,0.004461
1.600000,0.063528,0.020439,9.938600,0.050717,0.013958,0.118376,0.139785,0.431047,0.013579
1.640000,0.070065,-0.019914,9.826978,0.063212,-0.009120,0.052905,0.171667,0.482048,0.005166
1.680000,0.054721,-0.005376,9.878601,0.072904,0.004226,0.095615,0.132648,0.482161,-0.010527
1.720000,0.034674,0.000111,9.816331,0.033043,0.004925,0.029426,0.130772,0.567709,0.010095
1.760000,0.083232,0.010879,9.795227,0.069166,-0.013455,-0.034858,0.144397,0.566812,0.011810
1.800000,0.041192,-0.011354,9.885475,0.035913,-0.016288,0.087321,0.140032,0.601856,-0.001593
1.840000,0.086007,-0.038849,9.739398,0.074674,-0.038254,-0.052852,0.109398,0.667036,-0.016575
1.880000,0.042655,-0.021544,9.720654,0.037696,-0.023384,-0.087405,0.132552,0.688817,-0.034186
1.920000,0.051942,-0.004274,9.830210,0.041792,-0.017860,-0.010565,0.152130,0.695529,-0.040086
1.960000,-0.004996,-0.058212,9.756939,0.012288,-0.052085,-0.042686,0.131065,0.710377,-0.030544
2.000000,0.022823,-0.062147,9.763323,0.006445,-0.062841,-0.036549,0.135609,0.812213,-0.061145
2.040000,0.042828,-0.068928,9.820927,0.034792,-0.066593,-0.003299,0.113279,0.796796,-0.055450
2.080000,0.051963,-0.056389,9.774155,0.040225,-0.049101,-0.039316,0.136587,0.858814,-0.070517
2.120000,-0.018455,-0.064491,9.751753,-0.019753,-0.061939,-0.058035,0.137724,0.815733,-0.064064
2.160000,0.033708,-0.089091,9.700370,0.028379,-0.092546,-0.102409,0.152776,0.848782,-0.083097
2.200000,0.021319,-0.080545,9.728853,0.014015,-0.083420,-0.085340,0.114797,0.818705,-0.074936
2.240000,-0.020028,-0.038652,9.735656,-0.018262,-0.052557,-0.033722,0.112428,0.830294,-0.082293
2.280000,-0.024231,-0.063106,9.792183,-0.016260,-0.056810,-0.021712,0.126496,0.847943,-0.056708
2.320000,-0.075584,-0.042312,9.884169,-0.064441,-0.044606,0.093196,0.106744,0.901467,-0.058484
2.360000,-0.098450,-0.008288,10.030100,-0.097143,0.003713,0.198421,0.118247,0.865367,-0.073677
2.400000,-0.092401,-0.021669,10.174266,-0.083711,-0.020856,0.348794,0.115922,0.885787,-0.118019
2.440000,-0.055366,-0.079723,10.387570,-0.048106,-0.064270,0.566323,0.075415,0.908533,-0.079671
2.480000,-0.036602,-0.017874,10.513978,-0.051296,-0.022564,0.674449,0.069807,0.881976,-0.077146
2.520000,-0.098815,0.032005,10.565886,-0.115032,0.013925,0.716236,0.075722,0.883318,-0.104081
2.560000,-0.118814,0.010957,10.583679,-0.115273,0.000698,0.773980,0.047941,0.869369,-0.084916
2.600000,-0.091588,0.001358,10.443566,-0.104596,0.005314,0.633194,0.114445,0.911628,-0.084067
2.640000,-0.126737,0.074768,10.299832,-0.124848,0.065082,0.479256,0.046622,0.898641,-0.137537
2.680000,-0.086614,0.028516,10.156120,-0.082840,0.043425,0.337079,0.089886,0.937599,-0.088201
2.720000,-0.040294,0.046751,9.984237,-0.043980,0.042429,0.210222,0.040772,0.926782,-0.113749
2.760000,-0.124593,0.076791,10.037843,-0.117126,0.051436,0.232282,0.077411,0.984379,-0.138760
2.800000,-0.031100,0.125948,9.870041,-0.027730,0.121718,0.073882,0.073926,1.016659,-0.109870
2.840000,0.040814,0.052747,9.918309,0.027403,0.055480,0.102470,0.009865,1.043625,-0.122293
2.880000,0.037025,0.077343,9.902147,0.033712,0.080761,0.085739,0.036565,1.068785,-0.098856
2.920000,0.044146,0.083969,9.903784,0.040350,0.081285,0.093906,0.067156,1.170514,-0.104790
2.960000,0.050179,0.097693,9.847782,0.052459,0.098244,0.048635,0.029130,1.237776,-0.107130
3.000000,0.093467,0.049183,9.885765,0.096652,0.054071,0.084276,0.039230,1.270107,-0.134396
3.040000,0.099158,0.042223,9.860432,0.098018,0.043889,0.023167,0.020434,1.371112,-0.127186
3.080000,0.101300,0.056397,9.776593,0.093543,0.073188,0.003155,0.027017,1.449548,-0.125881
3.120000,0.139492,0.108031,9.859876,0.136068,0.100832,0.004568,0.028553,1.545607,-0.106988
3.160000,0.093703,0.019285,9.834200,0.087626,0.008683,-0.003553,-0.006444,1.600911,-0.092446
3.200000,0.128957,-0.003517,9.810632,0.146986,-0.010300,0.003384,-0.008663,1.684096,-0.108834
3.240000,0.132273,0.045935,9.736880,0.142321,0.049607,-0.082533,-0.020990,1.732765,-0.136009
3.280000,0.124839,-0.036353,9.779459,0.130978,-0.039791,-0.028586,-0.045453,1.793630,-0.127387
3.320000,0.125850,-0.052731,9.770380,0.121505,-0.056662,-0.036833,-0.012568,1.856565,-0.109874
3.360000,0.154007,-0.063292,9.750972,0.150364,-0.060127,-0.051951,-0.030881,1.899650,-0.093925
3.400000,0.127239,-0.058287,9.719209,0.120748,-0.069630,-0.080476,-0.013134,1.947154,-0.118155
3.440000,0.106521,-0.078387,9.725877,0.109975,-0.086607,-0.094516,-0.005178,1.998704,-0.101185
